file,dataset,true_label,predicted_label,estimated_spoof_prob,lcnn_score,aasist_score,rawnet2_score
LA_E_2804151.flac,LA,spoof,spoof,0.9659,0.9534,0.9423,0.8017
PA_E_0106490.flac,PA,spoof,spoof,0.9083,0.9281,0.8523,0.839
PA_E_0088530.flac,PA,bonafide,bonafide,0.2901,0.1274,0.2271,0.193
PA_E_0126757.flac,PA,spoof,spoof,0.8517,0.9041,0.9671,0.9202
PA_E_0025091.flac,PA,spoof,spoof,0.9843,0.9288,0.8632,0.8822
PA_E_0126245.flac,PA,spoof,spoof,0.9136,0.9644,0.8618,0.8732
LA_E_4779781.flac,LA,spoof,spoof,0.871,0.9125,0.9385,0.8714
LA_E_8656438.flac,LA,spoof,spoof,0.9026,0.9194,0.9051,0.9178
LA_E_3468260.flac,LA,spoof,spoof,0.9749,0.9755,0.9444,0.8473
PA_E_0048087.flac,PA,spoof,spoof,0.9463,0.9238,0.8806,0.9261
PA_E_0121220.flac,PA,spoof,spoof,0.8554,0.9702,0.9054,0.8956
LA_E_9279511.flac,LA,spoof,spoof,0.9423,0.9695,0.9264,0.8921
LA_E_8466641.flac,LA,spoof,spoof,0.8593,0.9318,0.868,0.9106
LA_E_4446071.flac,LA,spoof,spoof,0.9217,0.948,0.855,0.8127
LA_E_8895543.flac,LA,spoof,spoof,0.9503,0.8872,0.8586,0.8018
PA_E_0023150.flac,PA,spoof,spoof,0.9839,0.9538,0.8924,0.8445
PA_E_0073799.flac,PA,spoof,spoof,0.899,0.9575,0.9294,0.8278
PA_E_0000581.flac,PA,spoof,spoof,0.8744,0.8898,0.9292,0.9147
PA_E_0027917.flac,PA,bonafide,bonafide,0.1663,0.1042,0.1364,0.3436
PA_E_0091164.flac,PA,spoof,spoof,0.8914,0.9569,0.925,0.8573
